ECO_ID,m,p3AET,Tg,Tcc,REALM,BIOME,BIOME_NAME,ECO_NAME,biome2,wet,vegcover,woodycover,treecover,evergreen,altbiome
40105,1.625764966,330.3604736,27.62342262,16.24841398,IM,1,Tropical and subtropical moist broadleaf forests,Brahmaputra Valley semi-evergreen forests,tropical,0,100,95,95,0.7,113
40106,2.399685144,313.8183594,26.87909317,24.43043137,IM,1,Tropical and subtropical moist broadleaf forests,Cardamom Mountains rain forests,tropical,0,100,95,95,1,111
40107,0.728558302,335.5009766,28.29146576,25.1084404,IM,1,Tropical and subtropical moist broadleaf forests,Chao Phraya freshwater swamp forests,tropical,1,100,95,95,1,1111
40108,1.084276438,323.1490631,27.89947224,25.31814384,IM,1,Tropical and subtropical moist broadleaf forests,Chao Phraya lowland moist deciduous forests,tropical,0,100,95,95,0,113
40109,2.495556593,279.9211426,22.79994583,14.87896442,IM,1,Tropical and subtropical moist broadleaf forests,Chin Hills-Arakan Yoma montane forests,montane,0,100,95,95,1,112
40110,2.163218498,250.6804657,24.06927872,21.96686935,IM,1,Tropical and subtropical moist broadleaf forests,Christmas and Cocos Islands tropical forests,tropical,0,100,95,95,1,111
40111,0.973834455,328.4901428,28.26311684,19.11770058,IM,1,Tropical and subtropical moist broadleaf forests,Eastern highlands moist deciduous forests,tropical,0,100,95,95,0,113
40112,2.185599566,301.8049927,22.22543621,21.1576376,IM,1,Tropical and subtropical moist broadleaf forests,Eastern Java-Bali montane rain forests,montane,0,100,95,95,1,112
40113,1.38833487,310.6244812,26.35001183,25.52625275,IM,1,Tropical and subtropical moist broadleaf forests,Eastern Java-Bali rain forests,tropical,0,100,95,95,1,111
40114,1.896523118,332.391449,27.44535065,25.94520569,IM,1,Tropical and subtropical moist broadleaf forests,Greater Negros-Panay rain forests,tropical,0,100,95,95,1,111
40115,1.192229509,339.4306946,27.42029858,13.75027472,IM,1,Tropical and subtropical moist broadleaf forests,Himalayan subtropical broadleaf forests,subtropical,0,100,95,95,1,120
40116,1.890174389,312.1539001,27.64885521,23.90758038,IM,1,Tropical and subtropical moist broadleaf forests,Irrawaddy freshwater swamp forests,tropical,1,100,95,95,1,1111
40117,1.071945906,339.79599,27.58330154,20.51890039,IM,1,Tropical and subtropical moist broadleaf forests,Irrawaddy moist deciduous forests,tropical,0,100,95,95,0,113
40118,1.893515587,321.8693237,24.63760948,9.147086143,IM,1,Tropical and subtropical moist broadleaf forests,Jian Nan subtropical evergreen forests,subtropical,0,100,95,95,1,120
40119,1.047727585,325.3792725,24.79740715,17.94682372,IM,1,Tropical and subtropical moist broadleaf forests,Kayah-Karen montane rain forests,montane,0,100,95,95,1,112
40120,1.229835153,346.8542786,28.6037941,16.99152386,IM,1,Tropical and subtropical moist broadleaf forests,Lower Gangetic Plains moist deciduous forests,tropical,0,100,95,95,0,113
40121,1.024208486,332.1173553,25.26068687,19.12772751,IM,1,Tropical and subtropical moist broadleaf forests,Luang Prabang montane rain forests,montane,0,100,95,95,1,112
40122,2.486195326,298.138916,23.41175842,19.19760132,IM,1,Tropical and subtropical moist broadleaf forests,Luzon montane rain forests,montane,0,100,95,95,1,112
40123,2.062938213,340.7992859,26.89614868,23.46138382,IM,1,Tropical and subtropical moist broadleaf forests,Luzon rain forests,tropical,0,100,95,95,1,111
40124,2.82179606,290.4968567,27.20472336,25.34300041,IM,1,Tropical and subtropical moist broadleaf forests,Malabar Coast moist forests,tropical,0,100,95,95,1,111
40126,2.252939463,327.923584,27.45073128,15.80653024,IM,1,Tropical and subtropical moist broadleaf forests,Meghalaya subtropical forests,subtropical,0,100,95,95,1,111
40127,2.959391236,303.6554871,25.65587044,25.04797554,IM,1,Tropical and subtropical moist broadleaf forests,Mentawai Islands rain forests,tropical,0,100,95,95,1,111
40128,2.291208029,306.4829712,23.86947823,21.35827827,IM,1,Tropical and subtropical moist broadleaf forests,Mindanao montane rain forests,montane,0,100,95,95,1,112
40129,2.01947391,340.1096649,26.8180809,25.53342819,IM,1,Tropical and subtropical moist broadleaf forests,Mindanao-Eastern Visayas rain forests,tropical,0,100,95,95,1,111
40130,2.052302837,324.50354,27.27296829,24.98958206,IM,1,Tropical and subtropical moist broadleaf forests,Mindoro rain forests,tropical,0,100,95,95,1,111
40131,2.23869133,306.2305908,24.51636887,15.71077025,IM,1,Tropical and subtropical moist broadleaf forests,Mizoram-Manipur-Kachin rain forests,tropical,0,100,95,95,1,111
40132,2.810464263,302.2213287,27.07122231,23.20903873,IM,1,Tropical and subtropical moist broadleaf forests,Myanmar coastal rain forests,tropical,0,100,95,95,1,111
40133,2.460838079,280.3959656,26.94771385,26.27618217,IM,1,Tropical and subtropical moist broadleaf forests,Nicobar Islands rain forests,tropical,0,100,95,95,1,111
40134,1.421377242,264.4979553,24.61829853,21.93784714,IM,1,Tropical and subtropical moist broadleaf forests,North Western Ghats moist deciduous forests,tropical,0,100,95,95,0,113
40135,2.741332293,259.8874207,24.0444603,21.89772797,IM,1,Tropical and subtropical moist broadleaf forests,North Western Ghats montane rain forests,montane,0,100,95,95,1,112
40136,2.061548114,328.4886627,26.87598896,18.82803059,IM,1,Tropical and subtropical moist broadleaf forests,Northern Annamites rain forests,tropical,0,100,95,95,1,111
40137,1.291770577,297.7544403,23.0588274,12.23363149,IM,1,Tropical and subtropical moist broadleaf forests,Northern Indochina subtropical forests,subtropical,0,100,95,95,1,120
40138,2.166455269,336.3447571,27.33037186,19.68742943,IM,1,Tropical and subtropical moist broadleaf forests,Northern Khorat Plateau moist deciduous forests,tropical,0,100,95,95,0,113
40139,0.933340669,348.3382874,26.2365818,19.36181641,IM,1,Tropical and subtropical moist broadleaf forests,Northern Thailand-Laos moist deciduous forests,tropical,0,100,95,95,0,113
40140,3.297400594,291.1507874,24.48904037,11.76016521,IM,1,Tropical and subtropical moist broadleaf forests,Northern Triangle subtropical forests,subtropical,0,100,95,95,1,120
40141,1.995842397,336.2988129,27.81804943,19.27816868,IM,1,Tropical and subtropical moist broadleaf forests,Northern Vietnam lowland rain forests,tropical,0,100,95,95,1,111
40142,1.174357295,316.677124,28.9671154,20.99971199,IM,1,Tropical and subtropical moist broadleaf forests,Orissa semi-evergreen forests,tropical,0,100,95,95,0.7,113
40143,1.58506465,290.3762207,24.77334785,23.86626053,IM,1,Tropical and subtropical moist broadleaf forests,Palawan rain forests,tropical,0,100,95,95,1,111
40144,3.353780031,238.0613861,18.65164185,17.03905487,IM,1,Tropical and subtropical moist broadleaf forests,Peninsular Malaysian montane rain forests,montane,0,100,95,95,1,112
40145,1.828808546,332.8148193,26.85910034,26.32321358,IM,1,Tropical and subtropical moist broadleaf forests,Peninsular Malaysian peat swamp forests,tropical,1,100,95,95,1,1111
40146,2.029836893,330.5754395,26.67822075,25.46907425,IM,1,Tropical and subtropical moist broadleaf forests,Peninsular Malaysian rain forests,tropical,0,100,95,95,1,111
40147,1.646880984,332.9649048,27.62872887,16.50357246,IM,1,Tropical and subtropical moist broadleaf forests,Red River freshwater swamp forests,tropical,1,100,95,95,1,1111
40149,1.674676657,323.3225403,26.91645908,13.59819889,IM,1,Tropical and subtropical moist broadleaf forests,South China-Vietnam subtropical evergreen forests,subtropical,0,100,95,95,1,120
40150,1.870080829,263.1997375,22.25892544,20.14878464,IM,1,Tropical and subtropical moist broadleaf forests,South Western Ghats moist deciduous forests,tropical,0,100,95,95,0,113
40151,2.256168365,259.4447632,20.24341011,18.51049805,IM,1,Tropical and subtropical moist broadleaf forests,South Western Ghats montane rain forests,montane,0,100,95,95,1,112
40152,1.780503273,297.943512,22.13392067,18.64642715,IM,1,Tropical and subtropical moist broadleaf forests,Southern Annamites montane rain forests,montane,0,100,95,95,1,112
40153,1.887907505,325.4224243,27.39683914,26.89476013,IM,1,Tropical and subtropical moist broadleaf forests,Southwest Borneo freshwater swamp forests,tropical,1,100,95,95,1,1111
40154,3.704166889,319.2958984,26.49180603,25.79247093,IM,1,Tropical and subtropical moist broadleaf forests,Sri Lanka lowland rain forests,tropical,0,100,95,95,1,111
40155,2.217999935,261.3295593,19.52960205,17.30747223,IM,1,Tropical and subtropical moist broadleaf forests,Sri Lanka montane rain forests,montane,0,100,95,95,1,112
40156,1.558798671,313.2394714,25.99148941,25.1160717,IM,1,Tropical and subtropical moist broadleaf forests,Sulu Archipelago rain forests,tropical,0,100,95,95,1,111
40157,1.868332863,337.4646606,26.83662796,26.25050354,IM,1,Tropical and subtropical moist broadleaf forests,Sumatran freshwater swamp forests,tropical,1,100,95,95,1,1111
40158,2.292495728,326.6795044,26.1748867,25.69717789,IM,1,Tropical and subtropical moist broadleaf forests,Sumatran lowland rain forests,tropical,0,100,95,95,1,111
40159,2.316020966,264.4516296,21.04463959,20.40788841,IM,1,Tropical and subtropical moist broadleaf forests,Sumatran montane rain forests,montane,0,100,95,95,1,112
40160,2.020696402,332.0765991,26.67965317,26.05251694,IM,1,Tropical and subtropical moist broadleaf forests,Sumatran peat swamp forests,tropical,1,100,95,95,1,1111
40161,1.949654579,313.9696655,27.23744011,26.70400238,IM,1,Tropical and subtropical moist broadleaf forests,Sundaland heath forests,tropical,0,100,95,95,1,111
40162,1.384706795,334.831192,28.9582243,19.46121788,IM,1,Tropical and subtropical moist broadleaf forests,Sundarbans freshwater swamp forests,tropical,1,100,95,95,1,1111
40163,1.52451992,334.7238159,27.2997036,26.13110542,IM,1,Tropical and subtropical moist broadleaf forests,Tenasserim-South Thailand semi-evergreen rain forests,tropical,0,100,95,95,0.7,113
40164,1.164669752,319.9874268,27.84102631,25.63867188,IM,1,Tropical and subtropical moist broadleaf forests,Tonle Sap freshwater swamp forests,tropical,1,100,95,95,1,1111
40165,1.168353319,327.2993164,27.88000107,25.50040817,IM,1,Tropical and subtropical moist broadleaf forests,Tonle Sap-Mekong peat swamp forests,tropical,1,100,95,95,1,1111
40166,0.737202883,334.7008972,30.13212967,14.35415125,IM,1,Tropical and subtropical moist broadleaf forests,Upper Gangetic Plains moist deciduous forests,tropical,0,100,95,95,0,113
40167,2.802420735,293.1067352,22.42130184,21.59187508,IM,1,Tropical and subtropical moist broadleaf forests,Western Java montane rain forests,montane,0,100,95,95,1,112
40168,1.926716983,330.8060608,26.64323616,25.94370937,IM,1,Tropical and subtropical moist broadleaf forests,Western Java rain forests,tropical,0,100,95,95,1,111
40169,1.363004625,342.9566956,27.05228806,18.01464844,IM,1,Tropical and subtropical moist broadleaf forests,Hainan Island monsoon rain forests,tropical,0,100,95,95,1,111
40170,2.558867812,291.5435486,25.50247192,15.06642246,IM,1,Tropical and subtropical moist broadleaf forests,Nansei Islands subtropical evergreen forests,subtropical,0,100,95,95,1,111
40171,2.504686356,296.7021179,25.45197296,18.35644531,IM,1,Tropical and subtropical moist broadleaf forests,South Taiwan monsoon rain forests,tropical,0,100,95,95,1,111
40172,2.173516035,317.4785309,26.2284956,17.28857136,IM,1,Tropical and subtropical moist broadleaf forests,Taiwan subtropical evergreen forests,subtropical,0,100,95,95,1,111
40201,0.5874331,338.503418,28.84015656,21.64356232,IM,2,Tropical and subtropical dry broadleaf forests,Central Deccan Plateau dry deciduous forests,tropical,0,99,90,60,0,114
40202,1.096981645,340.5948486,27.19926071,23.36481857,IM,2,Tropical and subtropical dry broadleaf forests,Central Indochina dry forests,tropical,0,99,90,60,0,114
40203,0.978899896,344.5038757,28.15692711,16.37659287,IM,2,Tropical and subtropical dry broadleaf forests,Chhota-Nagpur dry deciduous forests,tropical,0,99,90,60,0,114
40204,0.803625524,333.4796753,30.06057549,24.46719742,IM,2,Tropical and subtropical dry broadleaf forests,East Deccan dry-evergreen forests,tropical,0,99,90,60,1,113
40205,0.555886745,326.7000122,28.49577141,21.39804459,IM,2,Tropical and subtropical dry broadleaf forests,Irrawaddy dry forests,tropical,0,99,90,60,0,114
40206,0.525561333,310.6029053,28.91490364,16.56002712,IM,2,Tropical and subtropical dry broadleaf forests,Khathiar-Gir dry deciduous forests,tropical,0,99,90,60,0,114
40207,0.708274364,306.5959778,28.52273178,19.09330916,IM,2,Tropical and subtropical dry broadleaf forests,Narmada Valley dry deciduous forests,tropical,0,99,90,60,0,114
40208,1.005387545,341.2259216,29.32365608,20.38852668,IM,2,Tropical and subtropical dry broadleaf forests,Northern dry deciduous forests,tropical,0,99,90,60,0,114
40209,0.55769515,256.0026093,24.96464539,22.38378048,IM,2,Tropical and subtropical dry broadleaf forests,South Deccan Plateau dry deciduous forests,tropical,0,99,90,60,0,114
40210,1.412917614,322.1383972,26.61179543,21.90050697,IM,2,Tropical and subtropical dry broadleaf forests,Southeastern Indochina dry evergreen forests,tropical,0,99,90,60,1,113
40211,1.145337522,306.7245178,27.51971817,22.92609406,IM,2,Tropical and subtropical dry broadleaf forests,Southern Vietnam lowland dry forests,tropical,0,99,90,60,0,114
40212,1.34884733,298.1016998,27.52208519,25.29762554,IM,2,Tropical and subtropical dry broadleaf forests,Sri Lanka dry-zone dry evergreen forests,tropical,0,99,90,60,1,113
40301,1.600975752,305.7259216,24.76542759,9.792026043,IM,3,Tropical and subtropical coniferous forests,Himalayan subtropical pine forests,subtropical,0,100,95,95,1,220
40302,3.915280342,247.535614,19.5656662,15.0700922,IM,3,Tropical and subtropical coniferous forests,Luzon tropical pine forests,,0,100,95,95,1,220
40303,2.157742739,272.387207,20.62093163,11.48484612,IM,3,Tropical and subtropical coniferous forests,Northeast India-Myanmar pine forests,,0,100,95,95,1,220
40304,2.330624342,248.835022,19.27824974,18.5724144,IM,3,Tropical and subtropical coniferous forests,Sumatran tropical pine forests,,0,100,95,95,1,220
40401,2.667587876,260.9709473,21.38028145,9.980828762,IM,4,Temperate broadleaf and mixed forests,Eastern Himalayan broadleaf forests,warm,0,100,95,95,0,120
40402,2.635866165,279.9957886,21.11296272,7.401787758,IM,4,Temperate broadleaf and mixed forests,Northern Triangle temperate forests,warm,0,100,95,95,0,120
40403,2.045600474,248.736702,17.33542252,2.622607231,IM,4,Temperate broadleaf and mixed forests,Western Himalayan broadleaf forests,warm,0,100,95,95,0,120
40501,1.504998803,247.4964294,15.55505943,-0.936869621,IM,5,Temperate coniferous forests,Eastern Himalayan subalpine conifer forests,cold,0,100,95,95,1,140
40502,2.232106924,195.1965332,9.059010506,-10.84839821,IM,5,Temperate coniferous forests,Western Himalayan subalpine conifer forests,cold,0,100,95,95,1,140
40701,1.721012115,346.4746704,27.97410965,16.13570577,IM,7,"Tropical and subtropical grasslands, savannas, and",Terai-Duar savanna and grasslands,,0,99,10,10,0,410
40901,0.216698207,324.1212006,30.77385426,16.32452565,IM,9,Flooded grasslands,Rann of Kutch seasonal salt marsh,,1,99,0,0,,1000
41001,2.025860548,290.6069946,25.29382133,24.01663208,IM,10,Montane grasslands,Kinabalu montane alpine meadows,,0,99,0,0,,610
41301,0.517562509,308.6094818,27.39825726,22.46785831,IM,13,Deserts and xeric shrublands,Deccan thorn scrub forests,,0,60,60,25,,510
41302,0.106182467,107.25,32.29442024,9.04686141,IM,13,Deserts and xeric shrublands,Indus Valley desert,,0,25,25,0,,520
41303,0.293446377,307.586792,30.12327099,11.37813652,IM,13,Deserts and xeric shrublands,Northwestern thorn scrub forests,,0,60,60,25,,510
41304,0.129030883,156.8000031,31.77221298,13.61513293,IM,13,Deserts and xeric shrublands,Thar desert,,0,25,25,0,,520
41401,0.844821513,318.6932678,29.80773067,23.98424053,IM,14,Mangroves,Goadavari-Krishna mangroves,,1,99,95,60,1,1112
41402,1.305932403,321.2984009,27.7321949,25.79103088,IM,14,Mangroves,Indochina mangroves,,1,99,95,60,1,1112
41403,0.314220637,253.8048706,29.00460052,20.55930138,IM,14,Mangroves,Indus River Delta-Arabian Sea mangroves,,1,99,95,60,1,1112
41404,2.315994263,301.9451904,27.55398941,24.75507736,IM,14,Mangroves,Myanamar Coast mangroves,,1,99,95,60,1,1112
41405,1.829533994,327.1686096,26.80893135,26.17554569,IM,14,Mangroves,Sunda Shelf mangroves,,1,99,95,60,1,1112
41406,1.64560765,322.2073975,28.64367867,19.44815731,IM,14,Mangroves,Sundarbans mangroves,,1,99,95,60,1,1112
50201,0.342122734,330.4458008,27.93561172,14.82806364,,2,Tropical and subtropical dry broadleaf forests,Sonoran-Sinaloan transition subtropical dry forest,subtropical,0,99,90,60,0,220
50302,0.680912763,292.1493683,18.97574043,4.488910198,,3,Tropical and subtropical coniferous forests,Sierra Madre Occidental pine-oak forests,,0,100,75,75,1,220
50303,0.400544018,205.2000122,18.88768959,7.266218662,,3,Tropical and subtropical coniferous forests,Sierra Madre Oriental pine-oak forests,,0,100,75,75,1,220
50401,1.865815341,293.1660614,15.57889748,-9.830287933,,4,Temperate broadleaf and mixed forests,Allegheny Highlands forests,cold,0,100,95,95,0.3,131
50402,1.601061046,312.1168823,19.14961624,-5.831932068,,4,Temperate broadleaf and mixed forests,Appalachian mixed mesophytic forests,cold,0,100,95,95,0.3,131
50403,1.585675716,293.5021973,17.9977684,-4.376324654,,4,Temperate broadleaf and mixed forests,Appalachian/Blue Ridge forests,cold,0,100,95,95,0.3,131
50404,1.495013893,297.8031006,20.85707474,-5.655359268,,4,Temperate broadleaf and mixed forests,Central U.S. hardwood forests,cold,0,100,95,95,0,131
50405,0.816301584,285.5260773,25.6073494,6.910972118,,4,Temperate broadleaf and mixed forests,East Central Texas forests,warm,0,100,95,95,0,131
50406,2.203264236,252.0625458,12.10324383,-21.82929611,,4,Temperate broadleaf and mixed forests,Eastern forest/boreal transition,cold,0,100,95,95,0.5,131
50407,1.762770772,247.0764236,15.06802416,-13.64815998,,4,Temperate broadleaf and mixed forests,Eastern Great Lakes lowland forests,cold,0,100,95,95,0,131
50408,2.435783386,256.6199646,13.88098049,-12.20794678,,4,Temperate broadleaf and mixed forests,Gulf of St. Lawrence lowland forests,cold,0,100,95,95,0,131
50409,1.488992214,355.2498779,24.6042614,6.542715073,,4,Temperate broadleaf and mixed forests,Mississippi lowland forests,warm,1,100,95,95,0,1120
50410,2.947759271,257.6669922,13.19939089,-11.07883072,,4,Temperate broadleaf and mixed forests,New England/Acadian forests,cold,0,100,95,95,0.5,131
50411,1.74756968,283.6999817,18.34704781,-4.429101944,,4,Temperate broadleaf and mixed forests,Northeastern coastal forests,cold,0,100,95,95,0.5,131
50412,1.448555946,300.2055359,22.51321888,-0.351011753,,4,Temperate broadleaf and mixed forests,Ozark Mountain forests,cold,0,100,95,95,0,131
50413,1.384554029,326.8898926,22.40781784,2.841254234,,4,Temperate broadleaf and mixed forests,Southeastern mixed forests,warm,0,100,95,95,0.5,131
50414,1.438997686,253.5000076,17.14276028,-8.828046799,,4,Temperate broadleaf and mixed forests,Southern Great Lakes forests,cold,0,100,95,95,0,131
50415,1.369950771,279.9499817,16.07747841,-17.30078697,,4,Temperate broadleaf and mixed forests,Upper Midwest Forest/Savanna transition zone,cold,0,100,60,60,0,131
50415,1.369950771,279.9499817,16.07747841,-17.30078697,,4,Temperate broadleaf and mixed forests,Western Great Lakes forests,cold,0,100,95,95,0.5,131
50416,1.563497066,261.7610168,13.80625772,-21.87743759,,4,Temperate broadleaf and mixed forests,Western Great Lakes forests,cold,0,100,95,95,0.5,131
50417,1.927572846,154.1818695,15.71185255,4.102519989,,4,Temperate broadleaf and mixed forests,Willamette Valley forests,oceanic,0,100,60,60,0,133
50501,2.175153732,216.8522186,7.524998188,-16.14084244,,5,Temperate coniferous forests,Alberta Mountain forests,cold,0,100,95,95,1,140
50502,1.3644135,244.351593,10.0493412,-19.9183197,,5,Temperate coniferous forests,Alberta/British Columbia foothills forests,cold,0,100,85,85,1,140
50503,0.48879385,205.5999985,16.37017727,-3.727592468,,5,Temperate coniferous forests,Arizona Mountains forests,cold,0,100,85,85,1,140
50504,1.621464372,280.8067322,19.26856804,-2.020196915,,5,Temperate coniferous forests,Atlantic coastal pine barrens,cold,0,100,60,25,1,131
50505,0.630382597,99.09999847,12.94237328,-6.782722473,,5,Temperate coniferous forests,Blue Mountains forests,cold,0,100,85,85,1,140
50506,4.817995787,182.2665024,7.898339748,-10.52612782,,5,Temperate coniferous forests,British Columbia mainland coastal forests,oceanic,0,100,95,95,1,133
50507,3.664142132,136.5313721,8.213143349,-10.57558441,,5,Temperate coniferous forests,Cascade Mountains leeward forests,cold,0,100,95,95,1,140
50508,2.634609699,163.4217682,13.38192844,1.89130497,,5,Temperate coniferous forests,Central and Southern Cascades forests,oceanic,0,100,95,95,1,133
50509,2.247156858,195.4701233,6.793330193,-20.56700516,,5,Temperate coniferous forests,Central British Columbia Mountain forests,cold,0,100,95,95,1,140
50510,5.536828995,179.8263702,12.70782661,4.042285442,,5,Temperate coniferous forests,Central Pacific coastal forests,oceanic,0,100,95,95,1,133
50511,0.800353467,162.4500046,11.48605108,-13.11800957,,5,Temperate coniferous forests,Colorado Rockies forests,cold,0,100,95,95,1,140
50512,0.619805276,84.57265472,13.70256805,-4.566608429,,5,Temperate coniferous forests,Eastern Cascades forests,cold,0,100,85,85,1,133
50513,1.153895974,366.7518921,26.10186005,11.67416048,,5,Temperate coniferous forests,Florida sand pine scrub,warm,0,100,60,10,1,320
50514,1.22546947,158.6999969,10.18893433,-16.45006943,,5,Temperate coniferous forests,Fraser Plateau and Basin complex,cold,0,100,95,95,1,140
50515,0.935264766,95.80000305,8.385551453,-8.683904648,,5,Temperate coniferous forests,Great Basin montane forests,cold,0,100,85,85,1,140
