BPS_NAME,GROUPNAME,GROUPVEG,wet,vegcover,woodycover,treecover,ht,evergreen,needleevergreen,colddeciduous,NE,BE,DD,CD,NE0,BE0,DD0,CD0
Caribbean Swamp Systems,Red Bay-Sweetbay Magnolia-5,Riparian,1,99,95,25,25,1,0,,0,1,0,0,0,1,0,0
Central and South Texas Coastal Fringe Forest and Woodland,Live Oak-Seacoast Bluestem-3,Hardwood,0,100,85,85,20,1,0,,0,1,0,0,0,1,0,0
Central and Southern Appalachian Montane Oak Forest,Red Oak-Chestnut-Black Birch-1,Hardwood,0,100,95,95,25,0.1,1,1,0.111111111,0,0,1,0.1,0,0,0.9
Central and Southern Appalachian Spruce-Fir Forest,Red Spruce-Fir-Yellow Birch-5,Conifer,0,100,95,95,20,1,1,,1,0,0,0,1,0,0,0
Central and Southern California Mixed Evergreen Woodland,Canyon Live Oak-Coulter Pine-1,Hardwood,0,99,60,60,25,1,0.5,,1,1,0,0,0.5,0.5,0,0
Central and Upper Texas Coast Dune and Coastal Grassland,Shore Little Bluestem-Gulf Cordgrass-2,Grassland,1,99,0,0,,,,,,,,,,,,
Central Appalachian Alkaline Glade and Woodland,Redcedar-Chinquapin Oak-Redbud-2,Savanna,0,95,25,10,20,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Central Appalachian Dry Oak-Pine Forest,Chestnut Oak-Virginia Pine-White Pine-3,Hardwood-Conifer,0,100,85,85,30,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Central Appalachian Pine-Oak Rocky Woodland,Red Pine-Pitch Pine-Black Oak-3,Hardwood-Conifer,0,95,60,60,25,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Central Atlantic Coastal Plain Maritime Forest,Live Oak-Wax Myrtle-3,Hardwood,0,100,95,60,25,1,0,,0,1,0,0,0,1,0,0
Central Atlantic Coastal Plain Nonriverine Swamp and Wet Hardwood Forest,Atlantic White Cedar-4,Riparian,1,100,95,95,25,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,Longleaf Pine-Slash Pine-Saw Palmetto-1,Riparian,1,99,80,60,30,1,0.5,,1,1,0,0,0.5,0.5,0,0
Central Florida Pine Flatwoods,Longleaf Pine-Slash Pine-Saw Palmetto-1,Riparian,1,99,80,60,30,1,0.5,,1,1,0,0,0.5,0.5,0,0
Central Interior and Appalachian Floodplain Systems,American Sycamore-Silver Maple-3,Riparian,1,99,95,85,30,0,,1,0,0,0,1,0,0,0,1
Central Interior and Appalachian Floodplain Systems,Pecan-American Sycamore-Schumards Oak-1,Riparian,1,99,95,85,30,0,,1,0,0,0,1,0,0,0,1
Central Interior and Appalachian Floodplain Systems,Silver Maple-American Sycamore-Black Willow-3,Riparian,1,99,95,85,30,0,,1,0,0,0,1,0,0,0,1
Central Interior and Appalachian Riparian Systems,River Birch-American Sycamore-3,Riparian,1,99,95,95,30,0,,1,0,0,0,1,0,0,0,1
Central Interior and Appalachian Riparian Systems,Sugarberry-Bur Oak-Green Ash-1,Riparian,1,99,95,95,30,0,,1,0,0,0,1,0,0,0,1
Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Upright Sedge-Bluejoint Grass-2,Riparian,1,99,0,0,30,,,,,,,,,,,
Central Interior and Appalachian Swamp Systems,Red Maple-Black Ash-Blackgum-5,Riparian,1,99,95,95,25,0,,1,0,0,0,1,0,0,0,1
Central Interior Highlands Calcareous Glade and Barrens,Little Bluestem-Big Bluestem-Rosinweed-1,Grassland,0,95,10,5,,,,,,,,,,,,
Central Interior Highlands Dry Acidic Glade and Barrens,Post Oak-Blackjack Oak-Black Hickory-1,Hardwood,0,95,25,10,20,0,,1,0,0,0,1,0,0,0,1
Central Mixedgrass Prairie,Bluebunch Wheatgrass-Big Bluestem-Little Bluestem-2,Grassland,0,99,0,0,,,,,,,,,,,,
Central Tallgrass Prairie,Big Bluestem-Switchgrass-2,Grassland,0,99,0,0,,,,,,,,,,,,
